team,rank,barthag,adjoe,adjde,adjoe_z,adjde_z,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,V38,V40,eFG%_z,eFG% Def_z,FTR_z,FTR Def_z,OR%_z,DR%_z,TO%_z,TO% Def._z,3P%_z,3pD%_z,2p%_z,2p%D_z,ft%_z,ft%D_z,3P rate_z,3P rate D_z,arate_z,arateD_z,V38_z,V40_z
Richmond,186,0.470736287111637,104.161521390062,105.228388182502,-0.200995256606803,0.0422635149493954,51.3,50.6,33.6,26.3,21.5,25,17.1,16.7,33.3,33.6,52.4,50.7,73.8,72,44.9,40.8,51.6,50.3,6.4,9.7,0.297245662686246,-0.0209857998217604,0.417830661079877,1.03480761050306,-1.70580529848231,1.19688535053088,0.600941504897224,-0.671731087501387,-0.297104752880873,0.200338854371165,0.678578117235854,-0.164726564689997,0.603078284837005,-0.146172103865297,1.49130101488313,-0.819145816246569,0.153248858881111,0.111075019964355,-0.976122065205501,0.510284742915671
Western Kentucky,187,0.470516766591089,105.191023431517,106.276577358613,-0.0447648373499037,-0.130209668548941,50.3,50.7,31.9,26.3,25.8,30.5,17.1,17.8,35,36.9,49.1,47.3,71.3,70.1,35.9,42.6,49,51.5,14.8,6.5,-0.064714000363426,-0.0579656315465133,0.0489561246672992,1.03480761050306,-0.643445848136763,-0.688237402967778,0.600941504897224,-0.202400863110653,0.416571163829075,-1.21885637715586,-0.326701040118622,0.988452823514158,-0.0753567510990102,0.592940066485847,-0.291515296454393,-1.25379733186742,-0.35460322332392,-0.10618712056763,2.43169955286711,-1.49766497717527
Georgia Southern,188,0.469326580776992,101.413814037932,102.50296702311,-0.617969147218924,0.490715067824983,48.2,49.5,27.9,34.6,25.8,27.3,16.3,18.3,31.8,33.2,48.4,49.4,70,70.6,33.9,36.7,40.1,48.1,7.1,7.5,-0.824829292767732,0.385792349150517,-0.818983961009355,-0.521355029718888,-0.643445848136763,0.408561289976894,1.00239863170227,0.0109310570669525,-0.926818797036708,0.372362518798682,-0.539942073496845,0.276194966093946,-0.428142969785737,0.398436863761862,-0.687696698973842,0.170893747112022,-2.09301996625653,0.509388944272992,-0.692136930366118,-0.870180689646848
Drexel,189,0.465174973077402,101.423022774905,102.661052752907,-0.616571690215262,0.464703017991629,49.4,47.4,30.1,24.2,29.4,27.4,17.9,18,31.8,33.5,50.6,46.2,68.1,71.1,40.3,28.4,48.4,46.8,8,8.2,-0.390477697108128,1.16236881537032,-0.341616913887196,1.42853550742669,0.245971366106015,0.374286330822372,0.199484378092178,-0.117068095039611,-0.926818797036708,0.243344770478045,0.13024403140614,1.36154027263903,-0.94375359709711,0.203933661037877,0.580083789088394,2.17512018025259,-0.471799857678928,0.744756263182643,-0.327013185572624,-0.430941688376956
Texas St.,190,0.460821644285093,105.776393196105,107.23070282862,0.0440670056765702,-0.287205238642138,48.3,50.9,33.1,41.5,31.7,28.2,17.9,18.6,31.7,36.4,48.5,49.1,72.4,70.8,25.7,33.4,41.1,47.2,10.4,7.9,-0.788633326462765,-0.131925294996017,0.309338150370295,-1.81503240532509,0.814210141872235,0.100086657586206,0.199484378092178,0.138930209173516,-0.968799733313764,-1.00382679662146,-0.509479068728527,0.377946088582546,0.223154664712839,0.320635582672267,-2.31204044930358,0.967754859083572,-1.89769224233151,0.67233554967198,0.646650133876692,-0.61918697463548
Texas A&M Corpus Chris,191,0.460561238431985,106.531634658211,108.006171187188,0.158677453751275,-0.414803862585989,51,53.1,35.4,39.4,32.2,26.9,18.3,21.1,36.7,33.4,48.8,55.2,80.1,68.5,35.8,42.1,56.2,56.9,4.6,9,0.188657763771344,-0.945481592940572,0.808403699634371,-1.42130450840146,0.937740310517066,0.545661126594977,-0.00124418531034752,1.20558981006154,1.13024708053902,0.286350686584925,-0.418090054423575,-1.69099340201902,2.31273457539576,1.2153503152026,-0.311324366580366,-1.13306079975051,1.05175638893617,-1.08386675296156,-1.70636955479249,0.0710457416457791
St. Thomas,192,0.456380291962873,108.379555802295,110.040690475254,0.439105741864157,-0.74957169505266,52.4,52.1,31.7,30.7,23.6,29,15.2,17.4,35.4,34.1,51.8,52.5,78.2,74.9,44.9,35.4,50,45.3,6.1,11.5,0.695401292040883,-0.575683275693047,0.00555912038346582,0.209853921710704,-1.18697859017402,-0.174113015649962,1.55440218105921,-0.373066399252739,0.584494908937297,-0.0146907261632326,0.495800088625948,-0.775233299621606,1.79712394808439,-1.27429067966441,1.49130101488313,0.484808730615966,-0.159275499398909,1.01633393884762,-1.09782998013667,1.63975646046682
George Washington,193,0.455820860810322,109.781948553788,111.486437662588,0.651923588460198,-0.987460642597967,53.4,52,34.6,27.2,25.9,29.4,17.8,15.7,32.6,35.1,56.1,51.6,74,70,37.9,39.6,46.2,51.1,8.8,6.8,1.05736095509055,-0.538703443968294,0.634815682499039,0.866067083250081,-0.618739814407797,-0.311212852268047,0.249666518942808,-1.0983949278566,-0.590971306820262,-0.444749887232027,1.8057092936636,-0.469979932155801,0.657353087711887,0.631840707030642,0.104666106065055,-0.529378139166006,-0.901520850313953,-0.033766407056969,-0.00245874575618507,-1.30941969091674
Abilene Christian,194,0.455464456984282,106.962510320963,108.636797771495,0.224064293921292,-0.51856964940478,49.6,56.6,33.1,45.2,25.3,29.3,17.4,23.4,35.3,37.8,47.9,56.5,73,71.5,33.5,33.4,58,51.9,5.9,8.5,-0.318085764498193,-2.23977570330691,0.309338150370295,-2.50874346180958,-0.766976016781594,-0.276937893113525,0.450395082345333,2.18691664287853,0.542513972660241,-1.60590962211777,-0.692257097338432,-2.13191493280296,0.385979073337481,0.0483310988586874,-0.766932979477731,0.967754859083572,1.40334629200119,-0.178607834078291,-1.17896859009078,-0.24269640211843
Wright St.,195,0.454070222877559,105.050091676002,106.746625292636,-0.0661517082487745,-0.207553210559758,53.5,50.3,24,27.6,26.2,26.6,17.3,17.2,35.1,32.6,53.9,51.2,74.5,67.5,28.2,37.8,48.1,41.1,7.4,6.4,1.09355692139552,0.0899536953524986,-1.66522554454409,0.791071293359866,-0.544621713220899,0.648486004058541,0.500577223195965,-0.458399167323781,0.458552100106131,0.630398015439959,1.13552318876062,-0.334311768837666,0.79304009489909,1.60435672065057,-1.81681369615427,-0.0947266235451601,-0.530398174856431,1.77675143070957,-0.570429015434953,-1.56041340592811
